,,,,,,,,,,,,,
東京都,東京駅,0.47(1),2.79(3),8.50(1),19.76(1),37.11(1),56.59(1),75.50(1),88.20(1),95.18(1),98.39(1),99.02(2),99.10(10)
愛知県,名古屋駅,0.39(2),2.86(2),8.15(2),17.45(3),31.50(3),48.68(3),65.96(4),79.54(4),89.81(5),96.34(5),98.81(5),99.11(4)
埼玉県,浦和駅,0.38(3),2.40(4),7.25(4),17.71(2),31.64(2),48.19(4),66.89(3),83.01(3),93.36(3),97.59(3),98.90(3),99.09(13)
大阪府,大阪駅,0.37(4),2.36(5),7.05(7),15.57(6),29.07(6),46.75(5),64.40(5),78.77(6),88.51(7),95.58(8),98.42(7),99.11(4)
京都府,京都駅,0.35(5),2.87(1),8.12(3),16.93(4),30.43(5),46.39(6),62.07(6),75.89(7),86.14(11),94.43(12),98.03(14),99.10(10)
神奈川県,横浜駅,0.33(6),1.61(14),5.34(14),14.42(10),31.10(4),52.08(2),74.16(2),87.49(2),94.57(2),98.16(2),99.09(1),99.13(1)
岡山県,岡山駅,0.25(7),2.15(7),7.13(6),15.57(7),26.01(10),38.06(15),52.02(16),65.81(21),78.82(26),90.68(24),97.60(22),98.99(27)
千葉県,千葉駅,0.25(8),1.56(15),4.00(20),9.54(22),20.69(20),38.46(14),59.33(7),79.11(5),91.67(4),97.06(4),98.83(4),99.13(1)
福岡県,博多駅,0.22(10),1.74(12),4.77(19),11.11(19),21.53(19),36.80(16),54.44(14),72.84(11),86.22(10),94.70(10),98.21(10),99.11(4)
福島県,福島駅,0.22(9),1.76(10),6.50(9),14.75(9),26.10(9),39.27(13),52.89(15),67.14(15),80.25(21),90.43(27),96.94(30),98.86(33)
広島県,広島駅,0.20(13),2.01(8),6.21(10),13.39(11),23.70(15),36.05(17),50.92(17),66.38(18),80.85(20),91.70(19),97.74(19),99.01(25)
兵庫県,神戸駅,0.20(15),1.50(18),5.26(16),12.57(15),24.42(12),40.52(10),58.47(10),75.07(10),86.41(9),94.86(9),98.14(12),99.06(20)
奈良県,奈良駅,0.20(14),1.07(24),3.61(23),8.61(25),17.45(25),32.03(24),49.46(21),66.65(17),79.90(23),89.85(29),96.77(33),98.81(35)
茨城県,水戸駅,0.20(12),0.99(26),2.94(29),6.12(35),12.36(35),24.64(30),42.94(28),63.44(26),81.45(18),93.72(15),97.82(18),99.11(4)
滋賀県,大津駅,0.20(11),1.74(11),5.98(11),13.15(13),24.74(11),40.81(9),56.88(12),71.27(14),82.95(14),92.19(18),97.65(21),98.80(37)
静岡県,静岡駅,0.20(16),1.69(13),5.26(15),12.23(17),24.34(13),40.32(11),58.50(9),75.20(9),88.40(8),96.09(6),98.80(6),99.12(3)
宮城県,仙台駅,0.19(17),1.79(9),7.17(5),15.37(8),28.02(8),42.90(7),57.09(11),71.72(13),84.91(13),94.35(13),98.21(11),99.10(10)
三重県,津駅,0.19(18),1.30(21),3.90(21),8.47(26),16.94(26),30.62(25),47.87(25),66.00(19),81.20(19),91.57(20),97.86(17),99.03(22)
岐阜県,岐阜駅,0.18(19),1.36(19),5.13(17),12.30(16),23.79(14),39.68(12),56.71(13),72.28(12),85.16(12),94.45(11),98.05(13),99.08(16)
北海道,札幌駅,0.17(21),0.85(29),2.89(30),6.33(32),13.23(31),25.60(29),43.93(27),64.32(25),82.32(15),93.04(17),98.01(15),99.09(13)
栃木県,宇都宮駅,0.17(20),2.30(6),6.84(8),15.62(5),28.19(7),42.20(8),58.95(8),75.43(8),89.23(6),95.71(7),98.24(9),99.11(4)
長野県,長野駅,0.16(23),1.54(16),5.82(12),12.77(14),23.32(16),35.27(18),50.09(18),65.85(20),82.11(16),94.04(14),98.25(8),99.07(17)
石川県,金沢駅,0.16(25),0.94(27),3.23(27),10.14(21),20.08(22),33.45(22),48.64(23),64.53(24),79.07(25),91.34(22),97.68(20),98.81(35)
富山県,富山駅,0.16(22),1.02(25),3.72(22),10.17(20),20.40(21),33.91(21),49.98(19),65.38(23),79.30(24),90.52(25),97.21(28),99.03(22)
群馬県,前橋駅,0.16(24),1.33(20),4.95(18),11.55(18),21.90(18),34.34(20),49.77(20),66.67(16),81.88(17),93.25(16),97.94(16),99.09(13)
熊本県,熊本駅,0.15(26),1.13(22),3.48(24),7.66(27),14.10(30),24.26(33),38.26(33),55.67(36),72.96(36),86.63(38),96.08(39),98.64(45)
山形県,山形駅,0.15(27),0.77(30),2.60(33),7.12(28),15.10(27),26.92(27),40.81(31),56.04(33),71.90(37),87.24(36),96.30(36),98.71(42)
佐賀県,佐賀駅,0.14(28),1.09(23),3.06(28),6.69(30),12.99(32),23.96(35),38.19(35),54.30(37),70.82(39),86.25(39),96.19(37),98.75(39)
岩手県,盛岡駅,0.13(29),1.53(17),5.44(13),13.27(12),22.38(17),34.97(19),48.25(24),62.09(27),76.52(29),88.72(34),96.88(31),98.99(27)
福井県,福井駅,0.12(31),0.74(31),3.26(26),8.69(24),18.08(24),30.59(26),44.49(26),58.88(30),73.87(33),88.48(35),96.16(38),99.03(22)
新潟県,新潟駅,0.12(30),0.90(28),3.38(25),9.11(23),18.69(23),32.46(23),49.30(22),65.71(22),79.92(22),91.46(21),97.54(23),99.11(4)
