,,,,B．自然環境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,No.41,,No.42,,No.43,,No.44,,No.45,,No.46,*,No.47,*,No.48,*,No.49,*,,,,,,No.50,*,No.51,*,No.52,*,No.53,*,No.54,*
,,,,総 面 積,,面 積 割 合,,森林面積割合,,自然公園面積割合,,可住地面積割合,,年平均気温,,最 高 気 温,,最 低 気 温,,年平均相対湿度,,都,,,,,日照時間（年間）,,降水量（年間）,,快晴日数（年間）,,降水日数（年間）,,雪日数（年間）,
,,,,[北方地域及び竹島を含む],,[北方地域及び竹島を除く],,[北方地域及び竹島を除く],,[北方地域及び竹島を除く],,[北方地域及び竹島を除く],, ,,（日最高気温の,,（日最低気温の,, ,,道,,,,, ,, ,, ,, ,, ,
,,,, ,,（対全国総面積）,,（対総面積）,,（対総面積）,,（対総面積）,, ,,月平均の最高値）,,月平均の最低値）,, ,,府,,,,, ,, ,, ,, ,, ,
,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,
,,,,#B011001,,#B01101,,#B01202,,#B01204,,#B01301,,#B02101,,#B02102,,#B02103,,#B02201,,コ,,,,,#B02401,,#B02402,,#B02301,,#B02303,,#B02304,
,単　位,,,100k㎡,,％,,％,,％,,％,,ﾟC,,ﾟC,,ﾟC,,％,,｜,,単　位,,,時間,,mm,,日,,日,,日,
,年　度,,,2015,,2015,,2014,,2015,,2015,,2015,,2015,,2015,,2015,,ド,,年　度,,,2015,,2015,,2015,,2015,,2015,
,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,全    国,Japan,,"3,779.71",,100.00,,65.5,,14.8,,32.9,,...,,...,,...,,...,,全国,,全    国,Japan,,...,,...,,...,,...,,...,
01,北海道,Hokkaido,,834.24,1,21.03,1,67.9,22,11.1,32,28.5,30,10.0,47,26.4,47,-4.6,1,67,36,01,01,北 海 道,Hokkaido,,"1,813",34,"1,275",39,14,35,144,7,108,1
