,,,,財政力指数,,実質収支比率,,地方債現在高の割合,,経常収支比率,,自主財源の割合,,一般財源の割合,,投資的経費の割合,,地方税割合,,地方交付税割合,,都,,,,,国庫支出金割合,,住 民 税,,固定資産税,,課税対象所得,,民生費割合,,社会福祉費割合,,老人福祉費割合,,児童福祉費割合,,生活保護費割合,,都,,,,,衛生費割合,,労働費割合,,農林水産業費割合,,商工費割合,,土木費割合,,警察費割合,,消防費割合,,教育費割合,,災害復旧費割合,,都,,,,,人件費割合,,扶助費割合,,普通建設事業費割合,,歳出決算総額,,民 生 費,,社会福祉費,,老人福祉費,,児童福祉費,,生活保護費,,都,,,,,衛 生 費,,土 木 費,,警 察 費,,消 防 費,,教 育 費,,社会教育費,,災害復旧費,,公立小学校費,,公立中学校費,,都,,,,,公立高等学校費,,特別支援学校費<公立>,,幼 稚 園 費,,
,,,,［県財政］,,［県財政］,,（対歳出決算総額）,,［県財政］,,（対歳出決算総額）,,（対歳出決算総額）,,（対歳出決算総額）,,（対歳入決算総額）,,（対歳入決算総額）,,道,,,,,（対歳入決算総額）,,（人口１人当たり）,,（人口１人当たり）,,（納税義務者１人当たり）,,（対歳出決算総額）,,（対歳出決算総額）,,（対歳出決算総額）,,（対歳出決算総額）,,（対歳出決算総額）,,道,,,,,（対歳出決算総額）,,（対歳出決算総額）,,（対歳出決算総額）,,（対歳出決算総額）,,（対歳出決算総額）,,（対歳出決算総額）,,（対歳出決算総額）,,（対歳出決算総額）,,（対歳出決算総額）,,道,,,,,（対歳出決算総額）,,（対歳出決算総額）,,（対歳出決算総額）,,（人口１人当たり）,,（人口１人当たり）,,（人口１人当たり）,,(65歳以上人口１人当たり),,(17歳以下人口１人当たり),,(被保護実人員１人当たり),,道,,,,,（人口１人当たり）,,（人口１人当たり）,,（人口１人当たり）,,（人口１人当たり）,,（人口１人当たり）,,（人口１人当たり）,,（人口１人当たり）,,（児童１人当たり）,,（生徒１人当たり）,,道,,,,,（生徒１人当たり）,,（児童・生徒１人当たり）,,（児童１人当たり）,,
,単　位,,,－,,％,,％,,％,,％,,％,,％,,％,,％,,｜,,単　位,,,％,,千円,,千円,,千円,,％,,％,,％,,％,,％,,｜,,単　位,,,％,,％,,％,,％,,％,,％,,％,,％,,％,,｜,,単　位,,,％,,％,,％,,千円,,千円,,千円,,千円,,千円,,千円,,｜,,単　位,,,千円,,千円,,千円,,千円,,千円,,千円,,千円,,千円,,千円,,｜,,単　位,,,千円,,千円,,千円,,
,年　度,,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,ド,,年　度,,,2014,,2014,,2014,,2015,,2014,,2014,,2014,,2014,,2014,,ド,,年　度,,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,ド,,年　度,,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,ド,,年　度,,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,ド,,年　度,,,2014,,2014,,2014,,
,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,全    国,Japan,,0.473,,1.5,,178.4,,93.5,,55.1,,58.3,,15.3,,34.42,,17.18,,全国,,全    国,Japan,,12.37,,123.8,,69.0,,"3,287.9",,15.14,,4.64,,5.84,,3.08,,0.54,,全国,,全    国,Japan,,3.33,,0.64,,4.87,,7.44,,11.01,,6.37,,4.25,,21.74,,0.97,,全国,,全    国,Japan,,27.18,,2.07,,14.31,,847.6,,216.0,,57.6,,199.0,,421.6,,"1,879.5",,全国,,全    国,Japan,,53.7,,96.4,,25.2,,21.4,,132.3,,9.7,,6.2,,745.2,,883.5,,全国,,全    国,Japan,,986.5,,"6,525.6",,161.1,,
01,北海道,Hokkaido,,0.398,28,0.2,44,243.4,1,96.4,7,38.9,37,56.9,23,17.9,22,24.23,23,27.84,18,01,01,北 海 道,Hokkaido,,14.09,13,91.9,31,52.3,41,"2,847.3",31,14.46,20,4.79,17,6.32,20,1.85,44,1.50,2,01,01,北 海 道,Hokkaido,,2.66,40,0.45,39,9.76,5,6.55,27,12.11,25,5.20,24,5.15,21,21.59,30,0.21,34,01,01,北 海 道,Hokkaido,,26.70,30,2.86,9,17.72,19,"1,035.3",16,248.3,9,73.9,3,227.7,10,358.9,42,"1,783.4",26,01,01,北 海 道,Hokkaido,,60.7,22,128.0,12,23.0,22,30.5,8,158.2,15,11.8,19,1.7,37,930.4,6,"1,138.6",6,01,01,北 海 道,Hokkaido,,"1,017.8",28,"8,889.3",2,92.3,38,
02,青森県,Aomori-ken,,0.317,36,0.6,33,186.0,34,95.8,9,39.6,33,57.3,19,21.3,15,20.18,29,31.44,9,02,02,青 森 県,Aomori-ken,,15.71,10,74.2,46,55.9,34,"2,609.1",46,14.32,23,4.55,26,5.28,36,3.24,20,1.25,5,02,02,青 森 県,Aomori-ken,,3.47,25,0.67,13,9.50,7,6.87,24,10.86,31,4.30,41,8.24,1,20.62,34,0.67,19,02,02,青 森 県,Aomori-ken,,24.79,38,2.72,11,20.58,14,"1,076.9",11,244.1,11,70.4,7,208.9,27,463.9,7,"1,620.2",44,02,02,青 森 県,Aomori-ken,,74.6,7,107.5,24,22.4,26,45.9,2,159.2,14,12.9,14,7.1,13,905.9,12,"1,021.2",14,02,02,青 森 県,Aomori-ken,,"1,096.9",16,"6,220.5",34,149.7,30,
03,岩手県,Iwate-ken,,0.318,35,6.6,2,151.1,42,97.6,3,51.2,15,44.9,44,27.5,1,12.28,46,25.62,24,03,03,岩 手 県,Iwate-ken,,18.86,4,83.1,36,53.4,39,"2,657.5",42,9.30,46,2.91,45,3.71,46,1.83,45,0.33,29,03,03,岩 手 県,Iwate-ken,,5.40,2,1.32,3,8.04,17,12.99,5,11.84,27,2.77,46,4.33,34,14.90,45,11.58,1,03,03,岩 手 県,Iwate-ken,,17.94,46,1.26,43,15.97,27,"1,569.1",2,228.6,19,63.0,20,213.1,21,410.5,21,"1,563.4",47,03,03,岩 手 県,Iwate-ken,,99.8,1,242.2,1,21.0,33,35.1,4,169.1,6,14.0,10,123.2,1,964.9,5,"1,068.8",9,03,03,岩 手 県,Iwate-ken,,"1,056.4",20,"6,579.8",26,282.3,15,
04,宮城県,Miyagi-ken,,0.559,15,7.9,1,125.3,44,98.6,2,61.2,5,44.1,45,25.7,2,19.80,32,16.72,37,04,04,宮 城 県,Miyagi-ken,,20.35,3,105.1,20,55.4,36,"3,045.3",16,12.81,37,3.03,44,4.04,44,2.24,42,0.37,28,04,04,宮 城 県,Miyagi-ken,,3.65,21,2.81,1,7.00,21,11.23,11,10.56,33,3.80,44,3.02,46,17.18,42,9.40,2,04,04,宮 城 県,Miyagi-ken,,19.94,44,1.28,42,16.26,25,"1,341.8",4,206.0,26,51.0,39,196.0,33,390.0,33,"1,653.7",42,04,04,宮 城 県,Miyagi-ken,,73.5,8,238.9,2,21.1,32,23.7,25,143.8,30,11.6,21,73.0,2,760.6,30,836.8,35,04,04,宮 城 県,Miyagi-ken,,"1,204.6",9,"7,506.7",12,216.4,22,
