,,,,公 民 館 数,,図 書 館 数,,博 物 館 数,,青少年教育施設数,,常設映画館数,,社会体育施設数,,多目的運動広場数,,青少年学級・講座数,,成人一般学級・講座数,,都,,,,,女性学級・講座数,,高齢者学級・講座数,,ボランティア活動の,,スポーツの年間行動者率,,旅行・行楽の年間行動者率,,海外旅行の年間行動者率,,客室稼働率,,一般旅券発行件数,,都
,,,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,道,,,,,（女性人口100万人当たり）,,（人口100万人当たり）,,年間行動者率,,（10歳以上）,,（10歳以上）,,（10歳以上）,, ,,（人口千人当たり）,,道
,単　位,,,館,,館,,館,,所,,館,,施設,,施設,,学級･講座,,学級･講座,,｜,,単　位,,,学級･講座,,学級･講座,,％,,％,,％,,％,,％,,件,,｜
,年　度,,,2011,,2011,,2011,,2011,,2014,,2011,,2011,,2010,,2010,,ド,,年　度,,,2010,,2010,,2011,,2011,,2011,,2011,,2015,,2015,,ド
,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,全    国,Japan,,114.9,,25.6,,9.9,,8.2,,11.8,,372.2,,57.5,,630.6,,"2,161.4",,全国,,全    国,Japan,,558.7,,298.4,,26.3,,63.0,,73.2,,8.9,,71.4,,25.6,,全国
01,北海道,Hokkaido,,78.0,37,26.2,30,11.1,25,16.6,6,10.4,22,739.0,7,61.8,31,608.2,29,764.2,43,01,01,北 海 道,Hokkaido,,156.4,41,281.3,34,23.8,40,60.0,33,72.0,24,4.5,36,70.4,14,16.0,34,01
02,青森県,Aomori-ken,,195.2,22,24.2,36,4.4,45,6.6,36,13.6,13,586.2,17,54.3,36,870.9,21,"2,567.5",21,02,02,青 森 県,Aomori-ken,,782.5,19,691.7,11,22.7,45,49.4,47,59.1,45,3.0,45,60.3,42,10.2,46,02
03,岩手県,Iwate-ken,,248.9,15,35.0,15,16.7,8,4.6,43,14.0,10,671.2,8,83.7,22,"1,308.1",9,"3,106.4",18,03,03,岩 手 県,Iwate-ken,,"1,665.8",9,957.0,7,33.7,5,55.0,44,65.2,41,3.7,42,60.2,43,11.8,45,03
04,宮城県,Miyagi-ken,,171.5,23,15.5,45,7.3,39,5.6,40,6.0,38,389.8,34,60.6,32,717.2,26,"1,729.9",32,04,04,宮 城 県,Miyagi-ken,,547.7,25,337.7,30,30.7,14,60.2,30,73.9,18,5.0,35,66.3,18,17.9,28,04
