,,,,着工新設住宅比率,,持ち家比率,,借 家 比 率,,民営借家比率,,空き家比率,,着工新設持ち家比率,,着工新設貸家比率,,一戸建住宅比率,,共同住宅比率,,都,,,,,住宅の敷地面積,,持ち家住宅の延べ面積,,借家住宅の延べ面積,,持ち家住宅の居住室の畳数,,借家住宅の居住室の畳数,,着工新設持ち家住宅の,,着工新設貸家住宅の,,居住室数,,居住室数,,都,,,,,持ち家住宅の畳数,,借家住宅の畳数,,最低居住面積水準,,家計を主に支える者が,,民営賃貸住宅の家賃,,着工居住用建築物,,都市ガス供給区域内,,都市ガス販売量,,ガソリン販売量,,都,,,,,上水道給水人口比率,,下水道普及率,,し尿処理人口比率,,ごみのリサイクル率,,ごみ埋立率,,最終処分場残余容量,,小売店数,,大型小売店数,,百貨店，総合スーパー数,,都,,,,,セルフサービス事業所数,,コンビニエンスストア数,,飲 食 店 数,,理容・美容所数,,クリーニング所数,,公衆浴場数,,郵 便 局 数,,住宅用電話加入数,,携帯電話契約数,,都,,,,,道路実延長,,主要道路実延長,,主要道路舗装率,,市町村道舗装率,,保有自動車数,,自家用乗用車数,,市街化調整区域面積比率,,住居専用地域面積比率,,工業専用地域面積比率,,都,,,,,都市公園面積,,都市公園数,,
,,,,（対居住世帯あり住宅数）,,（対居住世帯あり住宅数）,,（対居住世帯あり住宅数）,,（対居住世帯あり住宅数）,,（対総住宅数）,,（対着工新設住宅戸数）,,（対着工新設住宅戸数）,,（対居住世帯あり住宅数）,,（対居住世帯あり住宅数）,,道,,,,,（１住宅当たり）,,（１住宅当たり）,,（１住宅当たり）,,（１住宅当たり）,,（１住宅当たり）,,床面積,,床面積,,（１住宅当たり）,,（１住宅当たり）,,道,,,,,（１人当たり）,,（１人当たり）,,以上世帯割合,,雇用者である普通世帯比率,,（１か月3.3㎡当たり）,,工事費予定額,,世帯比率,, ,, ,,道,,,,,,,,,,, ,, ,, ,,（人口千人当たり）,,（人口10万人当たり）,,（人口10万人当たり）,,道,,,,,（人口10万人当たり）,,（人口10万人当たり）,,（人口千人当たり）,,（人口10万人当たり）,,（人口10万人当たり）,,（人口10万人当たり）,,(可住地面積100k㎡当たり),,（人口千人当たり）,,（人口千人当たり）,,道,,,,,（総面積１k㎡当たり）,,（総面積１k㎡当たり）,,（対主要道路実延長）,,（対市町村道実延長）,,（人口千人当たり）,,（人口千人当たり）,,(対都市計画区域指定面積),,（対用途地域面積）,,（対用途地域面積）,,道,,,,,（人口１人当たり）,,(可住地面積100k㎡当たり),,
,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,府,,,,, ,, ,, ,, ,, ,,（１住宅当たり）,,（１住宅当たり）,,＜持ち家＞,,＜借家＞,,府,,,,, ,, ,, ,,［通勤時間90分以上］ １）,, ,,（床面積１㎡当たり）,,（対一般世帯数）,, ,, ,,府,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,府,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,府,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,府,,,,, ,, ,,
,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,
,,,,#H01204,,#H01301,,#H01302,,#H0130202,,#H01405,,#H01601,,#H01603,,#H01401,,#H01403,,コ,,,,,#H02104,,#H0210301,,#H0210302,,#H0210201,,#H0210202,,#H0210701,,#H0210703,,#H0210101,,#H0210102,,コ,,,,,#H0220301,,#H0220302,,#H02602,,#H03101,,#H04102,,#H04301,,#H05102,,#H051041,,#H05105,,コ,,,,,#H0520101,,#H0530401,,#H0540102,,#H055031,,#H055041,,#H05505,,#H06127,,#H06131,,#H06132,,コ,,,,,#H06113,,#H0611302,,#H06130,,#H06117,,#H06119,,#H06121,,#H06302,,#H06306,,#H06310,,コ,,,,,#H06401,,#H06402,,#H06406,,#H06408,,#H06501,,#H0650101,,#H07201,,#H0720201,,#H0720206,,コ,,,,,#H08101,,#H08301,,
,単　位,,,％,,％,,％,,％,,％,,％,,％,,％,,％,,｜,,単　位,,,㎡,,㎡,,㎡,,畳,,畳,,㎡,,㎡,,室,,室,,｜,,単　位,,,畳,,畳,,％,,－,,円,,千円,,％,,万MJ,,kl,,｜,,単　位,,,％,,％,,％,,％,,％,,千ｍ3,,店,,店,,店,,｜,,単　位,,,所,,所,,店,,所,,所,,所,,局,,加入,,契約,,｜,,単　位,,,km,,km,,％,,％,,台,,台,,％,,％,,％,,｜,,単　位,,,㎡,,所,,
,年　度,,,2014,,2013,,2013,,2013,,2013,,2014,,2014,,2013,,2013,,ド,,年　度,,,2013,,2013,,2013,,2013,,2013,,2014,,2014,,2013,,2013,,ド,,年　度,,,2013,,2013,,2013,,2013,,2015,,2014,,2014,,2014,,2015,,ド,,年　度,,,2014,,2013,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,ド,,年　度,,,2014,,2014,,2014,,2014,,2014,,2014,,2015,,2015,,2014,,ド,,年　度,,,2014,,2014,,2014,,2014,,2015,,2015,,2013,,2013,,2013,,ド,,年　度,,,2014,,2014,,
,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,全    国,Japan,,1.7,,61.7,,35.5,,28.0,,13.5,,31.6,,40.7,,54.9,,42.4,,全国,,全    国,Japan,,263,,122.3,,46.0,,41.34,,17.90,,123.6,,49.3,,5.69,,2.67,,全国,,全    国,Japan,,15.02,,9.78,,90.2,,16.2,,...,,182.9,,73.3,,"155,301,382",,"53,524,505",,全国,,全    国,Japan,,96.9,,...,,6.1,,20.6,,9.7,,"107,051",,8.02,,14.18,,1.34,,全国,,全    国,Japan,,101.0,,27.6,,4.86,,286.5,,84.0,,3.4,,19.94,,122.4,,"1,242.2",,全国,,全    国,Japan,,3.25,,0.50,,97.5,,78.4,,636.5,,476.8,,37.3,,38.4,,7.9,,全国,,全    国,Japan,,9.56,,86.38,,
01,北海道,Hokkaido,,1.4,31,57.7,43,40.3,6,30.3,7,14.1,25,32.9,37,55.3,2,53.4,40,42.0,10,01,01,北 海 道,Hokkaido,,294,22,121.5,35,52.4,9,42.54,28,21.02,1,127.0,14,56.1,7,5.47,39,2.94,14,01,01,北 海 道,Hokkaido,,16.87,7,11.42,1,93.6,30,4.2,42,"3,723",37,163.9,35,67.7,13,"2,834,521",14,"2,258,355",7,01,01,北 海 道,Hokkaido,,97.3,18,89.8,6,7.3,27,24.6,6,18.2,1,"8,045",3,7.77,39,15.98,4,1.37,21,01,01,北 海 道,Hokkaido,,114.7,20,40.6,1,5.23,13,319.4,31,78.6,36,6.1,8,6.73,47,163.3,10,990.8,25,01,01,北 海 道,Hokkaido,,1.14,47,0.24,47,96.0,39,58.6,46,692.6,35,514.3,36,48.6,10,40.5,15,13.5,3,01,01,北 海 道,Hokkaido,,25.60,1,34.05,36,
