,,,,消 防 署 数,,消防団・分団数,,消防ポンプ自動車等現有数,,消防水利数,,消防吏員数,,消防機関出動回数,,火災のための消防機関,,火災出火件数,,建物火災出火件数,,都,,,,,火災死傷者数,,火災死傷者数,,建物火災損害額,,建物火災損害額,,立体横断施設数,,横断歩道数,,信号機設置数,,交通事故発生件数,,交通事故発生件数,,都,,,,,交通事故死傷者数,,交通事故死者数,,道路交通法違反検挙件数,,警察署・交番・駐在所数,,警 察 官 数,,刑法犯認知件数,,窃盗犯認知件数,,刑法犯検挙率,,窃盗犯検挙率,,都,,,,,災害被害額,,不慮の事故による死亡者数,,公害苦情件数,,ばい煙発生施設数,,一般粉じん発生施設数,,水質汚濁防止法上の,,民間生命保険保有契約件数,,民間生命保険保険金額,,民間生命保険保険金額,,都,,,,,火災保険住宅物件・,,火災保険住宅物件・,,
,,,,(可住地面積100k㎡当たり),,(可住地面積100k㎡当たり),,（人口10万人当たり）,,（人口10万人当たり）,,（人口10万人当たり）,,（人口10万人当たり）,,出動回数,,（人口10万人当たり）,,（人口10万人当たり）,,道,,,,,（人口10万人当たり）,,（建物火災100件当たり）,,（人口１人当たり）,,（建物火災１件当たり）,,（道路実延長千km当たり）,,（道路実延長千km当たり）,,（道路実延長千km当たり）,,（道路実延長千km当たり）,,（人口10万人当たり）,,道,,,,,（人口10万人当たり）,,（人口10万人当たり）,,（人口千人当たり）,,(可住地面積100k㎡当たり),,（人口千人当たり）,,（人口千人当たり）,,（人口千人当たり）,,（認知件数１件当たり）,,（認知件数１件当たり）,,道,,,,,（人口１人当たり）,,（人口10万人当たり）,,（人口10万人当たり）,, ,, ,,特定事業場数,,（人口千人当たり）,,（保有契約１件当たり）,,（１世帯当たり）,,道,,,,,一般物件新契約件数,,一般物件受取保険金額,,
,,,, ,, ,, ,, ,, ,, ,,（人口10万人当たり）,, ,, ,,府,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,府,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,府,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,府,,,,,（一般世帯千世帯当たり）,,（保有契約１件当たり）,,
,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,
,,,,#K01102,,#K01104,,#K01105,,#K01107,,#K01302,,#K01401,,#K01402,,#K02101,,#K02103,,コ,,,,,#K02203,,#K02303,,#K02205,,#K02306,,#K03102,,#K03104,,#K03112,,#K04102,,#K04101,,コ,,,,,#K04105,,#K04106,,#K04301,,#K05102,,#K05103,,#K06101,,#K06104,,#K06201,,#K06204,,コ,,,,,#K07105,,#K08101,,#K09201,,#K09210,,#K09211,,#K09220,,#K10101,,#K10105,,#K10107,,コ,,,,,#K10301,,#K10305,,
,単　位,,,署,,団,,台,,所,,人,,回,,回,,件,,件,,｜,,単　位,,,人,,人,,円,,万円,,所,,本,,基,,件,,件,,｜,,単　位,,,人,,人,,件,,所,,人,,件,,件,,％,,％,,｜,,単　位,,,円,,人,,件,,件,,件,,件,,件,,万円,,万円,,｜,,単　位,,,件,,万円,,
,年　度,,,2015,,2015,,2015,,2015,,2015,,2014,,2014,,2014,,2014,,ド,,年　度,,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,2015,,ド,,年　度,,,2015,,2015,,2014,,2015,,2015,,2014,,2014,,2014,,2014,,ド,,年　度,,,2014,,2015,,2014,,2014,,2014,,2014,,2015,,2015,,2015,,ド,,年　度,,,2014,,2014,,
,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,全    国,Japan,,4.6,,20.2,,72.5,,"1,996.7",,126.4,,"2,886.4",,64.2,,34.4,,18.6,,全国,,全    国,Japan,,6.26,,33.6,,611,,328.5,,12.32,,939.8,,171.0,,474.1,,422.4,,全国,,全    国,Japan,,527.3,,3.2,,55.4,,11.3,,2.03,,9.54,,7.06,,30.6,,26.2,,全国,,全    国,Japan,,"3,087",,30.1,,40.8,,"217,186",,"70,084",,"266,875",,"2,901.3",,334.6,,"2,308.3",,全国,,全    国,Japan,,130.4,,91.0,,
01,北海道,Hokkaido,,2.0,47,5.7,47,58.8,38,"1,298.4",46,167.9,3,"4,201.7",2,63.2,28,38.6,15,21.6,8,01,01,北 海 道,Hokkaido,,5.61,38,26.0,46,609,28,282.4,36,3.77,45,463.2,44,145.6,23,136.9,43,206.7,44,01,01,北 海 道,Hokkaido,,247.0,45,3.3,34,69.0,6,3.5,47,1.98,16,7.47,24,5.12,27,34.3,30,32.1,31,01,01,北 海 道,Hokkaido,,"2,612",23,28.4,38,15.5,47,"16,259",1,"4,280",3,"6,112",16,"1,476.9",16,413.9,46,"1,345.6",46,01,01,北 海 道,Hokkaido,,133.4,16,88.2,15,
