,,,,実 収 入,,世帯主収入,,消 費 支 出,,食料費割合,,住居費割合,,光熱・水道費割合,,家具・家事用品費割合,,被服及び履物費割合,,保健医療費割合,,都,,,,,交通・通信費割合,,教育費割合,,教養娯楽費割合,,平均消費性向,,貯蓄現在高,,預貯金現在高割合,,生命保険現在高割合,,有価証券現在高割合,,負債現在高,,都,,,,,住宅・土地のための,,自動車所有数量,,電子レンジ,,ルームエアコン所有数量,,タブレット端末所有数量,,ピアノ・電子ピアノ所有数量,,スマートフォン,,パソコン所有数量,,都
,,,,（１世帯当たり１か月間）,,（１世帯当たり１か月間）,,（１世帯当たり１か月間）,,（対消費支出）,,（対消費支出）,,（対消費支出）,,（対消費支出）,,（対消費支出）,,（対消費支出）,,道,,,,,（対消費支出）,,（対消費支出）,,（対消費支出）,,（消費支出／可処分所得）,,（１世帯当たり）,,（対貯蓄現在高）,,（対貯蓄現在高）,,（対貯蓄現在高）,,（１世帯当たり）,,道,,,,,負債割合（対負債現在高）,,（千世帯当たり）,,（電子オーブンレンジを含む）,,（千世帯当たり）,,（千世帯当たり）,,（千世帯当たり）,,所有数量（千世帯当たり）,,（千世帯当たり）,,道
,,,,［勤労者世帯］,,［勤労者世帯］,,［二人以上の世帯］,,［二人以上の世帯］,,［二人以上の世帯］,,［二人以上の世帯］,,［二人以上の世帯］,,［二人以上の世帯］,,［二人以上の世帯］,,府,,,,,［二人以上の世帯］,,［二人以上の世帯］,,［二人以上の世帯］,,［勤労者世帯］,,［二人以上の世帯］,,［二人以上の世帯］,,［二人以上の世帯］,,［二人以上の世帯］,,［二人以上の世帯］,,府,,,,,［二人以上の世帯］,,［二人以上の世帯］,,所有数量（千世帯当たり）,,［二人以上の世帯］,,［二人以上の世帯］ ,,［二人以上の世帯］,,［二人以上の世帯］,,［二人以上の世帯］,,府
,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,［二人以上の世帯］,,,,,,,,,,,,県
,,,,#L01201,,#L01204,,#L02211,,#L02411,,#L02412,,#L02413,,#L02414,,#L02415,,#L02416,,コ,,,,,#L02417,,#L02418,,#L02419,,#L02602,,#L03201,,#L03212,,#L03213,,#L03214,,#L03401,,コ,,,,,#L03412,,#L03607,,#L03602,,#L03603,,#L03614,,#L03606,,#L03615,,#L03613,,コ
,単　位,,,千円,,千円,,千円,,％,,％,,％,,％,,％,,％,,｜,,単　位,,,％,,％,,％,,％,,千円,,％,,％,,％,,千円,,｜,,単　位,,,％,,台,,台,,台,,台,,台,,台,,台,,｜
,年　度,,,2015,,2015,,2015,,2015,,2015,,2015,,2015,,2015,,2015,,ド,,年　度,,,2015,,2015,,2015,,2015,,2014,,2014,,2014,,2014,,2014,,ド,,年　度,,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,ド
,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,全    国,Japan,,525.7,,412.9,,287.4,,25.0,,6.2,,8.1,,3.6,,4.0,,4.4,,全国,,全    国,Japan,,14.0,,3.8,,9.9,,73.8,,"15,646",,62.2,,22.1,,13.8,,"5,333",,全国,,全    国,Japan,,86.0,,"1,377",,"1,044",,"2,723",,272,,329,,"1,105",,"1,339",,全国
01,北海道,Hokkaido,,525.9,26,390.2,32,272.1,37,24.2,29,8.2,5,9.6,5,3.4,30,4.4,12,4.5,12,01,01,北 海 道,Hokkaido,,13.2,30,3.4,24,9.9,16,68.7,38,"11,918",38,66.8,4,24.5,21,6.2,45,"4,348",26,01,01,北 海 道,Hokkaido,,84.4,24,"1,325",40,"1,043",31,344,47,217,29,289,38,865,44,"1,233",29,01
02,青森県,Aomori-ken,,433.3,44,331.6,45,226.2,47,27.3,6,4.6,42,12.4,1,4.5,1,3.0,47,4.3,25,02,02,青 森 県,Aomori-ken,,12.7,35,3.0,35,7.9,47,71.5,29,"8,624",46,63.1,20,29.5,2,6.6,44,"3,910",38,02,02,青 森 県,Aomori-ken,,83.0,30,"1,651",27,"1,056",21,"1,044",46,149,47,215,47,848,46,900,46,02
