,図書館数,"　閲覧室
　（開架式を含む）",,,　書　　　庫,,,　児　童　室,,,　視　聴　覚　室,,,　対面朗読室,,,"　調査研究室
　・会議室",,,　託　児　室,,,"　拡大読書器
　・拡大鏡",,,　外国人向け案内,,,バリアフリー関係設備,,,区　　　　　分,,
北海道,149,146,108,38,136,106,30,108,85,23,94,77,17,22,19,3,72,60,12,7,7,－,80,65,15,9,9,－,144,104,40,,北海道,
青森県,34,32,22,10,27,22,5,21,19,2,13,12,1,10,8,2,18,15,3,－,－,－,13,13,－,1,1,－,33,23,10,,青   森,
岩手県,47,46,39,7,45,39,6,32,28,4,21,18,3,5,5,－,23,20,3,3,2,1,22,21,1,5,4,1,44,39,5,,岩   手,
宮城県,35,35,27,8,32,27,5,24,20,4,13,11,2,6,5,1,19,17,2,1,1,－,22,18,4,5,4,1,33,26,7,,宮   城,
秋田県,47,47,42,5,44,41,3,34,31,3,15,14,1,3,3,－,27,26,1,－,－,－,23,21,2,2,2,－,45,41,4,,秋   田,
山形県,38,37,23,14,34,23,11,21,14,7,12,12,－,7,6,1,16,15,1,－,－,－,6,6,－,1,1,－,30,23,7,,山   形,
福島県,67,65,42,23,58,40,18,28,24,4,16,16,－,10,10,－,21,19,2,2,2,－,23,17,6,23,7,16,64,41,23,,福   島,
茨城県,64,62,49,13,56,48,8,47,41,6,40,33,7,24,22,2,45,40,5,1,1,－,38,32,6,5,5,－,64,50,14,,茨   城,
栃木県,53,53,44,9,51,44,7,41,38,3,36,32,4,10,10,－,42,37,5,4,4,－,25,21,4,5,5,－,53,44,9,,栃   木,
群馬県,56,56,31,25,41,31,10,25,19,6,20,16,4,5,4,1,26,19,7,－,－,－,18,17,1,6,5,1,53,28,25,,群   馬,
埼玉県,167,165,90,75,134,89,45,103,68,35,59,48,11,65,49,16,87,60,27,4,2,2,85,60,25,16,12,4,164,91,73,,埼   玉,
千葉県,143,141,66,75,93,62,31,82,55,27,26,22,4,31,25,6,47,40,7,3,3,－,88,47,41,12,11,1,105,65,40,,千   葉,
東京都,397,378,159,219,302,145,157,260,122,138,73,62,11,160,88,72,157,90,67,10,4,6,189,111,78,64,31,33,374,155,219,,東   京,
神奈川県,83,81,54,27,70,53,17,63,47,16,21,17,4,45,40,5,46,38,8,3,3,－,60,51,9,27,25,2,78,52,26,,神奈川,
